theta	R_0	R_1	R_2
25.6	25	20.6	0
25.7	34	23.47	0
25.8	25	27.07	0
25.9	35	23.97	0
26	18	19.4	0
26.1	16	17.3	0
26.2	23	15.47	0
26.3	10	15.43	0
26.4	19	17.17	0
26.5	15	15.93	0
26.6	13	14.9	0
26.7	15	15.23	0
26.8	14	13.7	0
26.9	15	14.23	0
27	10	13.57	0
27.1	12	14.3	0
27.2	13	14.23	0
27.3	12	12.8	0
27.4	11	13.83	0
27.5	8	13.57	0
27.6	8	13.17	0
27.7	15	12.87	0
27.8	15	12.47	0
27.9	12	13	0
28	14	11.53	0
28.1	14	13.43	0
28.2	15	13.17	0
28.3	12	12.07	0
28.4	15	13.13	0
28.5	10	13.5	0
28.6	17	11.5	0
28.7	15	12.07	0
28.8	12	12.57	0
28.9	16	12.33	0
29	14	12.77	0
29.1	24	15.8	0
29.2	29	23.97	0
29.3	40	28.83	0
29.4	47	41.57	0
29.5	42	40.43	0
29.6	39	33.73	0
29.7	25	24.33	0
29.8	11	18	0
29.9	13	14.17	0
30	13	13.03	0
30.1	14	11.2	0
30.2	10	11.8	0
30.3	9	11.17	0
30.4	6	10.7	0
30.5	9	10.33	0
30.6	16	9.93	0
30.7	12	11.2	0
30.8	15	10.4	0
30.9	15	9.17	0
31	13	10.43	0
31.1	10	9.1	0
31.2	13	8.83	0
31.3	9	9.03	0
31.4	10	9.83	0
31.5	3	8.73	0
31.6	16	10.37	0
31.7	8	10.2	0
31.8	11	8.53	0
31.9	12	9.73	0
32	12	9.43	0
32.1	10	9.03	0
32.2	11	8.87	0
32.3	17	8.53	0
32.4	10	9.7	0
32.5	10	9.2	0
32.6	6	8.9	0
32.7	9	8.67	0
32.8	11	8.53	0
32.9	13	8.23	0
33	8	8.27	0
33.1	14	8.97	0
33.2	12	9.4	0
33.3	12	10.67	0
33.4	11	10	0
33.5	10	10.1	0
33.6	8	9.57	0
33.7	8	8.23	0
33.8	8	7.4	0
33.9	14	9.57	0
34	8	8.37	0
34.1	7	7.7	0
34.2	5	7.73	0
34.3	4	8	0
34.4	4	8.27	0
34.5	7	8	0
34.6	10	7.27	0
34.7	5	7.07	0
34.8	9	7.27	0
34.9	4	7.07	0
35	4	7.53	0
35.1	9	7.3	0
35.2	12	6.23	0
35.3	1	7.1	0
35.4	10	6.97	0
35.5	9	7.03	0
35.6	9	7.1	0
35.7	7	7.6	0
35.8	6	7.47	0
35.9	8	6.67	0
36	14	7.43	0
36.1	8	6.7	0
36.2	9	6.7	0
36.3	7	6.77	0
36.4	5	6.63	0
36.5	5	6.43	0
36.6	7	6.63	0
36.7	6	6.63	0
36.8	5	6.63	0
36.9	5	6.93	0
37	11	7.57	0
37.1	10	6.53	0
37.2	5	6.43	0
37.3	10	7.23	0
37.4	5	7.5	0
37.5	8	8.2	0
37.6	12	7.03	0
37.7	6	7.07	0
37.8	8	6.8	7.6
37.9	9	6.73	0
38	10	8.83	7.9
38.1	9	8.2	0
38.2	15	10.93	11.47
38.3	10	0	0
38.4	9	0	11.33
38.5	12	0	0
38.6	7	0	9.1
38.7	6	0	0
38.8	9	0	7.13
38.9	5	0	0
39	8	0	7.5
39.1	5	0	0
39.2	4	0	6.23
39.3	10	0	0
